Call Failure,Complains,Subscription Length,Charge Amount,Seconds of Use,Frequency of use,Frequency of SMS,Distinct Called Numbers,Age Group,Tariff Plan,Status,Age,Customer Value,Churn,AvgMonthlySpend
3,0,9,1,1488,19,0,7,3,1,1,30,60.28,1,6.697777777777778
11,0,40,1,4430,74,10,19,3,1,1,30,220.16,0,5.504
3,0,41,1,378,8,12,6,3,1,1,30,63.44,0,1.5473170731707317
13,0,39,1,2513,63,364,26,3,1,1,30,1559.04,0,39.97538461538461
13,0,40,1,4258,69,6,37,1,1,1,15,270.985,0,6.774625
6,0,40,1,2453,61,7,35,2,1,1,25,144.63,0,3.61575
14,0,40,2,3835,85,37,30,3,2,1,30,304.8,0,7.62
7,0,40,1,2420,42,290,20,3,1,1,30,1258.48,0,31.462
16,0,39,3,9175,124,149,45,3,1,1,30,967.96,0,24.81948717948718
10,0,40,1,13833,172,5,46,3,1,1,30,580.2,0,14.505
10,0,40,2,4575,86,7,27,3,1,1,30,214.44,0,5.361
9,0,40,1,5978,98,12,14,3,1,1,30,291.04,0,7.276000000000001
12,0,40,1,2298,57,13,19,3,1,1,30,146.2,0,3.655
28,0,40,4,15200,228,59,34,3,1,1,30,853.12,0,21.328
7,0,40,2,3155,30,488,10,3,1,1,30,2079.4,0,51.985
12,0,39,1,15545,185,155,32,2,1,1,25,1405.35,0,36.034615384615385
6,0,39,2,6560,89,191,28,3,1,1,30,1029.96,0,26.40923076923077
3,0,39,1,935,17,5,13,2,1,1,25,65.34,0,1.6753846153846155
5,0,40,1,770,17,18,10,3,1,1,30,103.48,0,2.587
3,1,39,1,60,3,5,2,2,1,1,25,25.335,1,0.6496153846153846
6,0,39,1,7568,130,389,45,3,1,1,30,1863.92,0,47.79282051282051
10,0,39,2,11525,157,16,49,4,2,1,45,332.05,0,8.514102564102565
11,0,39,2,6778,78,113,39,2,1,1,25,817.02,0,20.94923076923077
26,1,35,1,1015,50,21,19,3,1,1,30,126.6,1,3.617142857142857
24,1,38,9,10495,96,6,44,5,2,1,55,167.865,0,4.4175
16,0,38,2,5878,101,31,26,2,1,1,25,408.555,0,10.751447368421053
4,0,36,1,2900,25,5,16,3,1,1,30,137.0,0,3.8055555555555554
12,0,37,1,3050,44,14,18,3,1,1,30,179.76,1,4.8583783783783785
12,1,38,1,2328,47,39,33,3,1,1,30,251.0,1,6.605263157894737
3,0,38,1,193,5,5,4,3,1,1,30,27.92,1,0.7347368421052632
4,0,38,1,1728,28,5,8,4,1,1,45,56.4,0,1.4842105263157894
6,0,35,2,6845,100,19,24,5,1,1,55,132.675,0,3.790714285714286
3,0,38,1,688,10,14,6,4,1,1,45,52.45,1,1.3802631578947369
3,0,38,2,398,7,9,4,5,1,1,55,19.575,0,0.5151315789473684
28,0,33,4,16135,241,5,82,2,1,1,25,759.42,0,23.012727272727272
9,1,36,4,7025,119,276,35,3,2,1,30,1389.76,0,38.60444444444445
5,0,38,1,3778,85,7,30,3,1,1,30,182.52,0,4.8031578947368425
6,0,37,1,1725,47,43,22,3,1,1,30,242.88,0,6.564324324324324
9,0,38,1,2840,56,180,25,2,1,1,25,940.32,0,24.745263157894737
7,0,29,2,1375,39,198,13,3,2,1,30,848.56,0,29.260689655172413
7,0,28,1,1628,42,35,70,4,1,1,45,129.25,0,4.616071428571429
14,0,29,1,760,28,15,9,3,1,1,30,91.52,0,3.1558620689655172
3,0,28,1,885,13,26,5,4,1,1,45,87.45,0,3.123214285714286
13,0,27,1,1285,35,24,15,2,1,1,25,167.4,0,6.2
5,0,27,1,3285,64,13,25,3,1,1,30,185.96,0,6.887407407407408
5,0,20,1,1755,29,33,16,2,1,1,25,228.78,0,11.439
19,0,19,2,6453,144,90,44,2,2,1,25,701.865,0,36.94026315789474
15,0,17,1,8993,174,78,42,5,1,1,55,254.505,0,14.970882352941176
11,0,18,4,2913,48,36,21,3,1,1,30,262.44,0,14.58
5,0,11,2,4450,43,220,12,3,1,1,30,1059.72,0,96.33818181818182
6,1,11,2,1548,22,5,9,3,1,1,30,82.8,1,7.527272727272727
5,0,36,0,4310,68,0,15,2,1,1,25,197.01,0,5.4725
0,0,37,0,258,2,2,2,2,1,2,25,20.7,0,0.5594594594594594
7,0,35,0,2393,57,354,22,2,1,1,25,1703.25,0,48.66428571428571
7,0,36,0,4138,63,0,33,1,1,1,15,231.055,0,6.4181944444444445
0,0,36,0,2333,55,0,31,1,1,1,15,131.34,0,3.6483333333333334
8,0,36,0,3715,79,27,26,3,1,1,30,259.76,0,7.2155555555555555
1,0,36,0,2300,36,280,16,3,1,1,30,1213.44,0,33.70666666666667
10,0,35,1,9055,118,139,41,3,1,1,30,922.92,0,26.369142857142855
4,0,36,0,13713,166,0,42,3,1,1,30,555.16,0,15.42111111111111
4,0,36,0,4455,80,0,23,3,1,1,30,181.4,0,5.038888888888889
3,0,36,0,5858,92,2,10,2,1,1,25,276.75,0,7.6875
6,1,36,0,2178,51,3,15,3,1,2,30,101.16,0,2.81
22,0,36,2,15080,222,49,30,3,1,1,30,808.08,0,22.44666666666667
1,0,36,0,3035,24,478,6,3,1,1,30,2034.36,0,56.51
6,0,35,0,15425,179,145,28,2,1,1,25,1354.68,0,38.70514285714286
0,0,35,0,6440,83,181,24,3,1,1,30,984.92,0,28.140571428571427
0,0,35,0,815,11,0,9,2,1,2,25,37.17,0,1.062
0,0,36,0,650,11,8,6,2,1,2,25,65.745,0,1.8262500000000002
0,0,35,0,0,0,0,0,2,1,2,25,0.0,1,0.0
0,0,35,0,7448,124,379,41,2,1,1,25,2046.24,0,58.464
4,0,35,0,11405,151,6,45,3,1,1,30,486.24,0,13.89257142857143
5,0,35,0,6658,72,103,35,2,1,1,25,766.35,0,21.895714285714288
20,0,31,0,895,44,11,15,2,1,2,25,91.755,1,2.959838709677419
18,0,34,7,10375,90,0,40,4,1,1,45,261.625,0,7.694852941176471
10,0,34,0,5758,95,21,22,2,1,1,25,357.885,1,10.526029411764705
0,0,32,0,2780,19,0,12,3,1,1,30,111.96,0,3.49875
6,0,33,0,2930,38,4,14,2,1,2,25,151.56,1,4.592727272727273
6,1,34,0,2208,41,29,29,3,1,2,30,205.96,1,6.057647058823529
0,1,34,0,0,0,0,0,3,1,2,30,0.0,1,0.0
0,0,34,0,1608,22,0,4,3,1,1,30,65.2,0,1.9176470588235295
0,0,31,0,6725,94,9,20,4,1,1,45,192.975,0,6.225
0,0,34,0,568,4,4,2,4,1,2,45,24.3,1,0.7147058823529412
0,0,34,0,0,0,0,0,5,1,1,55,0.0,0,0.0
22,0,29,2,16015,235,0,78,2,1,1,25,731.25,0,25.21551724137931
3,0,32,2,6905,113,266,31,2,2,1,25,1512.81,0,47.2753125
0,0,34,0,3658,79,0,26,2,1,1,25,168.165,0,4.946029411764705
0,0,33,0,1605,41,33,18,3,1,2,30,197.84,0,5.995151515151515
3,0,34,0,2720,50,170,21,2,1,1,25,889.65,0,26.166176470588233
1,0,25,0,1255,33,188,9,2,2,1,25,903.96,0,36.1584
1,0,24,0,1508,36,25,66,4,1,1,45,101.1,0,4.2124999999999995
8,0,25,0,640,22,5,5,2,1,2,25,52.29,0,2.0916
0,1,24,0,765,7,16,1,4,1,2,45,59.3,1,2.470833333333333
7,0,23,0,1165,29,14,11,2,1,1,25,116.73,0,5.075217391304348
0,0,23,0,3165,58,3,21,3,1,1,30,140.92,0,6.12695652173913
0,0,16,0,1635,23,23,12,2,1,1,25,178.11,0,11.131875
13,0,15,0,6333,138,80,40,1,2,1,15,795.905,0,53.06033333333333
9,0,13,0,8873,168,68,38,4,1,1,45,396.025,0,30.463461538461537
5,0,14,2,2793,42,26,17,3,1,1,30,217.4,0,15.528571428571428
0,0,7,0,4330,37,210,8,3,1,1,30,1014.68,0,144.9542857142857
0,0,7,0,1428,16,0,5,3,1,1,30,57.76,1,8.251428571428571
9,0,42,1,4450,73,15,21,3,1,1,30,240.92,0,5.736190476190476
1,1,43,0,398,7,17,8,3,1,2,30,84.2,1,1.958139534883721
11,0,41,1,2533,62,369,28,3,1,1,30,1579.8,0,38.53170731707317
11,0,42,1,4278,68,11,39,1,1,1,15,299.53,0,7.131666666666666
4,0,42,1,2473,60,12,37,2,1,1,25,167.985,0,3.9996428571428573
12,0,42,2,3855,84,42,32,3,1,1,30,325.56,0,7.751428571428572
5,0,42,1,2440,41,295,22,3,1,1,30,1279.24,0,30.45809523809524
14,0,41,3,9195,123,154,47,3,1,1,30,988.72,0,24.115121951219514
8,0,42,1,13853,171,10,48,3,1,1,30,600.96,0,14.30857142857143
8,0,42,2,4595,85,12,29,3,1,1,30,235.2,0,5.6
7,0,42,1,5998,97,17,16,3,1,1,30,311.8,0,7.423809523809524
10,0,42,0,2318,56,18,21,3,1,2,30,166.96,0,3.9752380952380952
26,0,42,4,15220,227,64,36,3,2,1,30,873.88,0,20.806666666666665
5,0,42,2,3175,29,493,12,3,1,1,30,2100.16,0,50.00380952380952
10,0,41,1,15565,184,160,34,2,1,1,25,1428.705,0,34.846463414634144
4,0,41,2,6580,88,196,30,3,1,1,30,1050.72,0,25.627317073170733
1,0,41,0,955,16,10,15,2,1,2,25,88.695,0,2.163292682926829
3,0,42,0,790,16,23,12,3,1,2,30,124.24,0,2.958095238095238
1,0,41,0,80,2,10,4,2,1,2,25,48.69,1,1.187560975609756
4,0,41,1,7588,129,394,47,3,1,1,30,1884.68,0,45.96780487804878
8,0,41,2,11545,156,21,51,4,1,1,45,345.025,0,8.415243902439023
9,0,41,2,6798,77,118,41,2,1,1,25,840.375,0,20.496951219512194
24,1,37,0,1035,49,26,21,3,1,2,30,147.36,1,3.982702702702703
22,1,40,9,10515,95,11,46,5,1,1,55,175.65,0,4.39125
14,0,40,2,5898,100,36,28,2,1,1,25,431.91,1,10.79775
2,0,38,1,2920,24,10,18,3,1,1,30,157.76,0,4.151578947368421
10,0,39,0,3070,43,19,20,3,1,2,30,200.52,1,5.141538461538461
10,1,40,0,2348,46,44,35,3,1,2,30,271.76,1,6.794
1,0,40,0,213,4,10,6,3,1,2,30,48.68,1,1.217
2,0,40,1,1748,27,10,10,4,1,1,45,69.375,0,1.734375
4,0,37,2,6865,99,24,26,5,1,1,55,140.46,0,3.7962162162162163
1,1,40,0,708,9,19,8,4,1,2,45,65.425,1,1.6356249999999999
1,0,40,2,418,6,14,6,5,1,1,55,27.36,0,0.6839999999999999
26,0,35,4,16155,240,10,84,2,1,1,25,782.775,0,22.365
7,1,38,4,7045,118,281,37,2,2,1,25,1586.835,0,41.75881578947369
3,0,40,1,3798,84,12,32,3,1,1,30,203.28,0,5.082
4,0,39,0,1745,46,48,24,3,1,2,30,263.64,0,6.76
7,0,40,1,2860,55,185,27,2,1,1,25,963.675,0,24.091874999999998
5,0,31,2,1395,38,203,15,2,2,1,25,977.985,0,31.54790322580645
5,0,30,1,1648,41,40,72,4,1,1,45,142.225,0,4.740833333333333
12,0,31,0,780,27,20,11,3,1,2,30,112.28,0,3.621935483870968
1,0,30,0,905,12,31,7,4,1,2,45,100.425,0,3.3474999999999997
11,0,29,1,1305,34,29,17,2,1,1,25,190.755,0,6.5777586206896554
3,0,29,1,3305,63,18,27,3,1,1,30,206.72,0,7.128275862068966
3,0,22,1,1775,28,38,18,2,1,1,25,252.135,0,11.460681818181818
17,0,21,2,6473,143,95,46,2,2,1,25,725.22,0,34.534285714285716
13,0,19,1,9013,173,83,44,5,1,1,55,262.29,0,13.804736842105264
9,0,20,4,2933,47,41,23,3,1,1,30,283.2,0,14.16
3,0,13,2,4470,42,225,14,3,1,1,30,1080.48,0,83.11384615384615
4,0,13,2,1568,21,10,11,3,1,1,30,103.56,1,7.966153846153846
7,0,34,0,4290,69,0,13,2,1,1,25,196.155,0,5.769264705882353
0,0,35,0,0,0,0,0,2,1,2,25,0.0,0,0.0
9,0,33,0,2373,58,349,20,2,1,1,25,1679.895,0,50.90590909090909
9,0,34,0,4118,64,0,31,1,1,1,15,230.01,0,6.765
2,0,34,0,2313,56,0,29,1,1,1,15,130.295,0,3.832205882352941
10,0,34,0,3695,80,22,24,3,1,1,30,239.0,0,7.029411764705882
3,0,34,0,2280,37,275,14,3,1,1,30,1192.68,0,35.078823529411764
12,0,33,1,9035,119,134,39,3,1,1,30,902.16,0,27.338181818181816
6,0,34,0,13693,167,0,40,3,1,1,30,554.4,0,16.305882352941175
6,0,34,0,4435,81,0,21,3,1,1,30,180.64,0,5.312941176470588
5,0,34,0,5838,93,0,8,2,1,1,25,266.895,0,7.84985294117647
8,0,34,0,2158,52,0,13,3,1,2,30,88.4,0,2.6
24,0,34,2,15060,223,44,28,3,1,1,30,787.32,0,23.156470588235294
3,0,34,0,3015,25,473,4,3,1,1,30,2013.6,0,59.2235294117647
8,0,33,0,15405,180,140,26,2,1,1,25,1331.325,0,40.34318181818182
2,0,33,0,6420,84,176,22,3,1,1,30,964.16,0,29.216969696969695
0,0,33,0,795,12,0,7,2,1,2,25,36.315,0,1.1004545454545454
1,0,34,0,630,12,3,4,2,1,2,25,42.39,0,1.246764705882353
0,0,33,0,0,0,0,0,2,1,2,25,0.0,1,0.0
2,0,33,0,7428,125,374,39,2,1,1,25,2022.885,0,61.29954545454545
6,0,33,0,11385,152,1,43,3,1,1,30,465.48,0,14.105454545454545
7,0,33,0,6638,73,98,33,2,1,1,25,742.995,0,22.515
22,0,29,0,875,45,6,13,2,1,2,25,68.4,1,2.3586206896551727
20,0,32,7,10355,91,0,38,4,1,1,45,261.15,0,8.1609375
12,1,32,0,5738,96,16,20,2,1,1,25,334.53,1,10.4540625
0,0,30,0,2760,20,0,10,3,1,1,30,111.2,0,3.7066666666666666
8,1,31,0,2910,39,0,12,3,1,2,30,117.96,1,3.8051612903225807
8,0,32,0,2188,42,24,27,3,1,2,30,185.2,1,5.7875
0,1,32,0,0,0,0,0,3,1,2,30,0.0,1,0.0
0,0,32,0,1588,23,0,2,3,1,1,30,64.44,0,2.01375
2,0,29,0,6705,95,4,18,4,1,1,45,180.0,0,6.206896551724138
0,0,32,0,0,0,0,0,4,1,2,45,0.0,1,0.0
0,0,32,0,0,0,0,0,5,1,1,55,0.0,0,0.0
24,0,27,2,15995,236,0,76,2,1,1,25,730.395,0,27.051666666666666
5,0,30,2,6885,114,261,29,2,2,1,25,1489.455,0,49.6485
1,0,32,0,3638,80,0,24,2,1,1,25,167.31,0,5.2284375
2,0,31,0,1585,42,28,16,3,1,2,30,177.08,0,5.71225806451613
5,0,32,0,2700,51,165,19,2,1,1,25,866.295,0,27.07171875
3,0,23,0,1235,34,183,7,2,2,1,25,880.605,0,38.28717391304348
3,0,22,0,1488,37,20,64,4,1,1,45,88.125,0,4.005681818181818
10,0,23,0,620,23,0,3,2,1,2,25,28.935,0,1.2580434782608696
0,0,22,0,0,0,11,0,4,1,2,45,27.5,0,1.25
9,0,21,0,1145,30,9,9,2,1,1,25,93.375,0,4.446428571428571
1,0,21,0,3145,59,0,19,3,1,1,30,128.16,0,6.102857142857142
1,0,14,0,1615,24,18,10,2,1,1,25,154.755,0,11.053928571428571
15,0,13,0,6313,139,75,38,1,2,1,15,767.36,0,59.027692307692305
11,0,11,0,8853,169,63,36,4,1,1,45,383.05,0,34.82272727272727
7,0,12,2,2773,43,21,15,3,1,1,30,196.64,0,16.386666666666667
1,0,5,0,4310,38,205,6,3,1,1,30,993.92,0,198.784
2,0,5,0,1408,17,0,3,3,1,1,30,57.0,1,11.4
13,0,44,1,4630,81,20,23,3,1,1,30,268.44,0,6.100909090909091
5,0,45,0,578,15,22,10,3,1,2,30,111.72,0,2.482666666666667
15,0,43,1,2713,70,374,30,3,1,1,30,1607.32,0,37.37953488372093
15,0,44,1,4458,76,16,41,1,1,1,15,337.37,0,7.6675
8,0,44,1,2653,68,17,39,2,1,1,25,198.945,0,4.521477272727273
16,0,44,2,4035,92,47,34,3,1,1,30,353.08,0,8.024545454545454
9,0,44,1,2620,49,300,24,3,1,1,30,1306.76,0,29.69909090909091
18,0,43,3,9375,131,159,49,3,1,1,30,1016.24,0,23.633488372093023
12,0,44,1,14033,179,15,50,3,1,1,30,628.48,0,14.283636363636363
12,0,44,2,4775,93,17,31,3,1,1,30,262.72,0,5.970909090909092
11,0,44,1,6178,105,22,18,3,1,1,30,339.32,0,7.711818181818182
14,1,44,0,2498,64,23,23,3,1,2,30,194.48,0,4.42
30,0,44,4,15400,235,69,38,3,1,1,30,901.4,0,20.486363636363635
9,0,44,2,3355,37,498,14,3,1,1,30,2127.68,0,48.35636363636363
14,0,43,1,15745,192,165,36,2,1,1,25,1459.665,0,33.945697674418604
8,0,43,2,6760,96,201,32,3,1,1,30,1078.24,0,25.0753488372093
5,0,43,0,1135,24,15,17,2,1,2,25,119.655,0,2.782674418604651
7,0,44,0,970,24,28,14,3,1,2,30,151.76,0,3.4490909090909088
5,0,43,0,260,10,15,6,2,1,2,25,79.65,1,1.852325581395349
8,0,43,1,7768,137,399,49,3,1,1,30,1912.2,0,44.46976744186047
12,0,43,2,11725,164,26,53,4,1,1,45,362.225,0,8.423837209302325
13,0,43,2,6978,85,123,43,2,1,1,25,871.335,0,20.26360465116279
28,1,39,0,1215,57,31,23,3,1,2,30,174.88,1,4.484102564102564
26,0,42,9,10695,103,16,48,5,2,1,55,185.97,0,4.4278571428571425
18,0,42,2,6078,108,41,30,2,1,1,25,462.87,0,11.020714285714286
6,0,40,1,3100,32,15,20,3,1,1,30,185.28,0,4.632
14,1,41,0,3250,51,24,22,3,1,2,30,228.04,1,5.561951219512195
14,1,42,0,2528,54,49,37,4,1,2,45,187.05,1,4.453571428571429
5,0,42,0,393,12,15,8,3,1,2,30,76.2,1,1.8142857142857143
6,0,42,1,1928,35,15,12,4,1,1,45,86.575,0,2.061309523809524
8,0,39,2,7045,107,29,28,5,1,1,55,150.78,0,3.8661538461538463
5,0,42,0,888,17,24,10,4,1,2,45,82.625,1,1.9672619047619047
5,0,42,2,598,14,19,8,5,1,1,55,37.68,0,0.8971428571428571
30,1,37,4,16335,248,15,86,2,1,1,25,813.735,0,21.99283783783784
11,1,40,4,7225,126,286,39,3,2,1,30,1438.04,0,35.951
7,0,42,1,3978,92,17,34,3,1,1,30,230.8,0,5.495238095238095
8,0,41,0,1925,54,53,26,3,1,2,30,291.16,0,7.101463414634147
11,0,42,1,3040,63,190,29,2,1,1,25,994.635,0,23.681785714285713
9,0,33,2,1575,46,208,17,3,2,1,30,896.84,0,27.1769696969697
9,0,32,1,1828,49,45,74,5,1,1,55,95.655,0,2.98921875
16,0,33,0,960,35,25,13,3,1,2,30,139.8,0,4.236363636363636
5,0,32,0,1085,20,36,9,4,1,2,45,117.625,0,3.67578125
15,0,31,1,1485,42,34,19,2,1,1,25,221.715,0,7.152096774193549
7,0,31,1,3485,71,23,29,3,1,1,30,234.24,0,7.556129032258065
7,0,24,1,1955,36,43,20,3,1,1,30,251.64,0,10.485
21,0,23,2,6653,151,100,48,2,2,1,25,756.18,0,32.877391304347825
17,0,21,1,9193,181,88,46,5,1,1,55,272.61,0,12.981428571428571
13,0,22,4,3113,55,46,25,3,1,1,30,310.72,0,14.123636363636365
7,0,15,2,4650,50,230,16,3,1,1,30,1108.0,0,73.86666666666666
8,1,15,2,1748,29,15,13,3,1,1,30,131.08,1,8.738666666666667
3,0,32,0,4110,61,0,11,2,1,1,25,187.695,0,5.86546875
0,0,33,0,0,0,0,0,2,1,2,25,0.0,0,0.0
5,0,31,0,2193,50,344,18,2,1,1,25,1648.935,0,53.19145161290322
5,0,32,0,3938,56,0,29,1,1,1,15,219.67,0,6.8646875
0,0,32,0,2133,48,0,27,1,1,1,15,119.955,0,3.74859375
6,0,32,0,3515,72,17,22,2,1,1,25,237.915,0,7.43484375
0,0,32,0,2100,29,270,12,3,1,1,30,1165.16,0,36.41125
8,0,31,1,8855,111,129,37,3,1,1,30,874.64,0,28.214193548387097
2,0,32,0,13513,159,0,38,3,1,1,30,546.88,0,17.09
2,0,32,0,4255,73,0,19,3,1,1,30,173.12,0,5.41
1,0,32,0,5658,85,0,6,2,1,1,25,258.435,0,8.07609375
4,0,32,0,1978,44,0,11,3,1,2,30,80.88,0,2.5275
20,0,32,2,14880,215,39,26,3,1,1,30,759.8,0,23.74375
0,0,32,0,2835,17,468,2,3,1,1,30,1986.08,0,62.065
4,0,31,0,15225,172,135,24,2,1,1,25,1300.365,0,41.94725806451613
0,0,31,0,6240,76,171,20,3,1,1,30,936.64,0,30.214193548387097
0,0,31,0,615,4,0,5,2,1,2,25,27.855,0,0.8985483870967742
0,0,32,0,450,4,0,2,2,1,2,25,20.43,0,0.6384375
0,0,31,0,0,0,0,0,2,1,2,25,0.0,1,0.0
0,0,31,0,7248,117,369,37,2,1,1,25,1991.925,0,64.25564516129032
2,0,31,0,11205,144,0,41,3,1,1,30,453.96,0,14.643870967741934
3,0,31,0,6458,65,93,31,2,1,1,25,712.035,0,22.968870967741935
18,1,27,0,695,37,1,11,2,1,2,25,37.44,1,1.3866666666666665
16,0,30,7,10175,83,0,36,4,1,1,45,256.45,0,8.548333333333334
8,1,30,0,5558,88,11,18,2,1,1,25,303.57,1,10.119
0,0,28,0,2580,12,0,8,3,1,1,30,103.68,0,3.7028571428571433
4,0,29,0,2730,31,0,10,2,1,2,25,124.245,1,4.2843103448275865
4,1,30,0,2008,34,19,25,3,1,2,30,157.68,1,5.256
0,0,30,0,0,0,0,0,3,1,2,30,0.0,1,0.0
0,0,30,0,0,0,0,0,3,1,1,30,0.0,0,0.0
0,0,27,0,6525,87,0,16,4,1,1,45,165.3,0,6.122222222222223
0,1,30,0,0,0,0,0,4,1,2,45,0.0,1,0.0
0,1,30,0,0,0,0,0,5,1,1,55,0.0,1,0.0
20,0,25,2,15815,228,0,74,2,1,1,25,721.935,0,28.877399999999998
1,0,28,2,6705,106,256,27,2,2,1,25,1458.495,0,52.08910714285714
0,0,30,0,3458,72,0,22,2,1,1,25,158.85,0,5.295
0,0,29,0,1405,34,23,14,3,1,2,30,149.56,0,5.157241379310345
1,0,30,0,2520,43,160,17,2,1,1,25,835.335,0,27.8445
0,0,21,0,1055,26,178,5,2,2,1,25,849.645,0,40.45928571428571
0,0,20,0,1308,29,15,62,4,1,1,45,70.925,0,3.5462499999999997
6,0,21,0,440,15,0,1,2,1,2,25,20.475,0,0.9750000000000001
0,0,20,0,0,0,6,0,4,1,2,45,15.0,0,0.75
5,0,19,0,965,22,4,7,2,1,1,25,62.415,0,3.285
0,0,19,0,2965,51,0,17,3,1,1,30,120.64,0,6.349473684210526
0,0,12,0,1435,16,13,8,2,1,1,25,123.795,0,10.31625
11,0,11,0,6133,131,70,36,1,2,1,15,729.52,0,66.32
7,0,9,0,8673,161,58,34,4,1,1,45,365.85,0,40.650000000000006
3,0,10,2,2593,35,16,13,3,1,1,30,169.12,0,16.912
0,0,3,0,4130,30,200,4,3,1,1,30,966.4,0,322.1333333333333
0,1,3,0,1228,9,0,1,2,1,1,25,55.665,1,18.555
10,0,41,0,4550,79,16,22,3,1,1,30,249.16,0,6.077073170731707
2,0,42,0,498,13,18,9,2,1,2,25,103.995,0,2.4760714285714287
12,0,40,0,2633,68,370,29,3,1,1,30,1588.04,0,39.701
12,0,41,0,4378,74,12,40,1,1,1,15,310.86,0,7.581951219512195
5,0,41,0,2573,66,13,38,1,1,1,15,216.645,0,5.284024390243903
13,0,41,1,3955,90,43,33,3,1,1,30,333.8,0,8.141463414634147
6,0,41,0,2540,47,296,23,3,1,1,30,1287.48,0,31.401951219512195
15,0,40,2,9295,129,155,48,3,1,1,30,996.96,0,24.924
9,0,41,0,13953,177,11,49,3,1,1,30,609.2,0,14.858536585365854
9,0,41,1,4695,91,13,30,3,1,1,30,243.44,0,5.937560975609756
8,0,41,0,6098,103,18,17,3,1,1,30,320.04,0,7.805853658536586
11,0,41,0,2418,62,19,22,3,1,2,30,175.2,0,4.273170731707316
